number,big_count,big_successRate,small_count,small_successRate,total,rep_count,rep_recentCount,rep_lastSeen
0,118.59133696374894,63.66,67.69633978986596,36.34,186.2876767536151,972,972,1781701805
1,187.34891894388537,49.05,194.61300259914267,50.95,381.96192154302713,1489,1489,1781701805
2,33.063674762186366,27.2,88.5266862223076,72.81,121.59036098449417,1079,1079,1781701805
3,142.34245449759445,47.43,157.88953149905262,52.59,300.23198599664676,1395,1395,1781701805
4,142.53500229766942,49.35,146.29434566805398,50.65,288.829347965724,1351,1351,1781701805
5,177.88242362804417,49.2,183.73039552204386,50.81,361.61281915008647,1754,1754,1781701805
6,225.81293198244018,76.48,69.44306925886931,23.52,295.2560012413089,1423,1423,1781701805
7,179.02606755770125,63.73,101.90584405324627,36.27,280.93191161094654,1564,1564,1781701805
8,90.6914276958571,38.76,143.53744334668738,61.28,234.22887104254434,1224,1224,1781701805
9,154.94146223981463,53.09,136.92694605271373,46.92,291.8684082925287,1411,1411,1781701805
